id,text,aspect,sentiment,reason
101,"I’ve been a loyal Nima customer for years and always wear a size 9, but these sneakers are so tight around the midfoot that my feet went numb after just ten minutes of walking. I’ll have to send these back and try a half size up, though I'm worried the length will then be too long.",sizing,Negative,restrictive midfoot and sizing inconsistency
102,The cushioning on these is actually quite remarkable; it feels like walking on a cloud thanks to the new foam technology they used in the midsole. I spent the whole day walking around the city and didn't feel any of the usual heel pain I get with other brands.,comfort,Positive,excellent foam cushioning for long walks
103,"I was incredibly disappointed to see that after only three light runs on a paved track, the rubber on the outer sole is already starting to peel away from the foam. For a brand like Nima, I expected the build quality to last much longer than a single week of use.",durability,Negative,premature sole delamination after light use
104,"The ""Electric Blue"" shown on the website looked like a deep, vibrant royal blue, but when the box arrived, the shoes were much more of a faded navy or greyish-blue. It’s not a bad color, but it’s definitely not the bold look I was promised in the marketing photos.",color,Negative,color saturation doesn't match online images
105,"The design of these sneakers is absolutely top-tier; they have a very sleek, futuristic silhouette that manages to look professional enough for my casual office days while still being sporty enough for the gym. I’ve already received several compliments from coworkers.",design,Positive,sleek and versatile futuristic silhouette
106,"While the price is a bit higher than the previous model, I feel like the inclusion of the recycled ocean plastic materials justifies the cost for anyone who cares about sustainability and wants a high-performance shoe that is environmentally conscious.",price/value,Positive,justified price due to sustainable materials
107,"I really wanted to love these, but the heel collar is unnecessarily stiff and high, which led to a massive blister on my Achilles tendon within the first mile. No amount of ""breaking them in"" seems to soften that rigid plastic piece at the back.",comfort,Negative,stiff heel collar causing blisters
108,"I ordered my usual 10.5, but there is so much extra room in the toe box that my foot slides forward every time I stop moving. It feels like these were mislabeled at the factory or the new mold they are using is just significantly larger than their standard fit.",sizing,Negative,oversized toe box causing foot slippage
109,"After about a month of regular wear, I noticed the stitching along the side logo is starting to fray and unravel. It doesn't affect the performance of the shoe yet, but it makes a brand-new pair of expensive sneakers look old and poorly made.",durability,Negative,frayed stitching on the logo after one month
110,"The breathability of the mesh upper is fantastic for summer weather; I usually struggle with my feet overheating during afternoon runs, but the airflow in these is consistent and kept me feeling cool even in 90-degree heat.",comfort,Positive,superior breathability and airflow in mesh
111,"I find the design to be a bit too ""bulky"" and ""chunkier"" than the photos suggested. On the feet, they look a bit like orthopedic shoes rather than the high-fashion trainers I thought I was purchasing based on the Instagram ads.",design,Negative,bulky aesthetic resembles orthopedic shoes
112,"The grip on the bottom is subpar; I tried wearing these on a slightly damp sidewalk and I was slipping all over the place. For a shoe marketed as a ""performance trainer,"" the traction should be much more reliable on various surfaces.",durability,Negative,poor traction and grip on damp surfaces
113,"For $150, I expected the insoles to have at least some arch support, but they are completely flat and feel like a cheap piece of cardboard. I had to spend another $30 on third-party inserts just to make them wearable for my flat feet.",price/value,Negative,lack of arch support for the high price point
114,The color hasn't faded at all even after I got them completely covered in mud and had to give them a deep scrub with soap and water. They still look just as vibrant as the day I pulled them out of the box.,color,Positive,durable color that survives deep cleaning
115,"These fit perfectly right out of the box with zero break-in period required. Usually, I have to wear new shoes around the house for a few days, but with these Nimas, I went straight for a 5k run and had no issues whatsoever with the fit or feel.",sizing,Positive,perfect true-to-size fit with no break-in
